delta,transformedValue,naturalValue,loss
-0.0005,0.3495,0.3495,14.1682415
-0.00049500004,0.349505,0.349505,14.168265
-0.00049,0.34950998,0.34950998,14.168293
-0.00048500003,0.349515,0.349515,14.168312
-0.00048000002,0.34952,0.34952,14.168341
-0.000475,0.349525,0.349525,14.168359
-0.00047000003,0.34952998,0.34952998,14.168379
-0.00046500002,0.349535,0.349535,14.168394
-0.00046,0.34954,0.34954,14.168415
-0.00045500003,0.349545,0.349545,14.168439
-0.00045000002,0.34955,0.34955,14.168452
-0.000445,0.349555,0.349555,14.168482
-0.00044000003,0.34956,0.34956,14.16851
-0.00043500002,0.349565,0.349565,14.168529
-0.00043000001,0.34957,0.34957,14.168542
-0.00042500003,0.34957498,0.34957498,14.168568
-0.00042000003,0.34958,0.34958,14.168589
-0.00041500002,0.349585,0.349585,14.168609
-0.00041,0.34959,0.34959,14.168633
-0.00040500003,0.34959498,0.34959498,14.168662
-0.00040000002,0.3496,0.3496,14.168688
-0.00039500004,0.349605,0.349605,14.168703
-0.00039,0.34961,0.34961,14.168725
-0.00038500002,0.349615,0.349615,14.168746
-0.00038,0.34961998,0.34961998,14.168767
-0.000375,0.349625,0.349625,14.168792
-0.00037000002,0.34963,0.34963,14.168811
-0.000365,0.349635,0.349635,14.168835
-0.00036,0.34963998,0.34963998,14.168858
-0.00035500003,0.349645,0.349645,14.168872
-0.00035000002,0.34965,0.34965,14.168896
-0.000345,0.349655,0.349655,14.168929
-0.00034000003,0.34965998,0.34965998,14.168944
-0.000335,0.349665,0.349665,14.168962
-0.00033,0.34967,0.34967,14.168985
-0.00032500003,0.349675,0.349675,14.169006
-0.00032,0.34968,0.34968,14.169032
-0.000315,0.34968498,0.34968498,14.169059
-0.00031000003,0.34969,0.34969,14.169077
-0.00030500002,0.349695,0.349695,14.1691
-0.0003,0.3497,0.3497,14.169126
-0.00029500003,0.34970498,0.34970498,14.169146
-0.00029000003,0.34971,0.34971,14.169171
-0.00028500002,0.349715,0.349715,14.169193
-0.00028,0.34972,0.34972,14.16921
-0.000275,0.349725,0.349725,14.169231
-0.00027000002,0.34972998,0.34972998,14.169254
-0.000265,0.349735,0.349735,14.169276
-0.00026,0.34974,0.34974,14.169296
-0.00025500002,0.349745,0.349745,14.169318
-0.00025,0.34974998,0.34974998,14.169335
-0.000245,0.349755,0.349755,14.169357
-0.00024000002,0.34976,0.34976,14.169375
-0.00023500001,0.349765,0.349765,14.169404
-0.00023,0.34976998,0.34976998,14.16942
-0.000225,0.349775,0.349775,14.169445
-0.00022000002,0.34978,0.34978,14.169466
-0.00021500001,0.349785,0.349785,14.169485
-0.00021000003,0.34979,0.34979,14.169506
-0.00020500002,0.34979498,0.34979498,14.169535
-0.00020000001,0.3498,0.3498,14.169554
-0.000195,0.349805,0.349805,14.1695795
-0.00019000002,0.34981,0.34981,14.169599
-0.00018500001,0.34981498,0.34981498,14.169618
-0.00018,0.34982,0.34982,14.16964
-0.00017500002,0.349825,0.349825,14.169671
-0.00016999998,0.34983,0.34983,14.169696
-0.000165,0.349835,0.349835,14.169712
-0.00016,0.34984,0.34984,14.169732
-0.00015500002,0.349845,0.349845,14.169762
-0.00015,0.34985,0.34985,14.169772
-0.00014500003,0.349855,0.349855,14.169796
-0.00013999999,0.34985998,0.34985998,14.169828
-0.00013500001,0.349865,0.349865,14.169848
-0.00013,0.34987,0.34987,14.169869
-0.00012500002,0.349875,0.349875,14.16989
-0.00012000001,0.34987998,0.34987998,14.169912
-0.000115,0.349885,0.349885,14.169936
-0.00011000002,0.34989,0.34989,14.169958
-0.000104999985,0.349895,0.349895,14.169978
-0.000100000005,0.3499,0.3499,14.169998
-9.4999996e-05,0.34990498,0.34990498,14.170022
-9.0000016e-05,0.34991,0.34991,14.170042
-8.500001e-05,0.349915,0.349915,14.170061
-8.000003e-05,0.34992,0.34992,14.170092
-7.499999e-05,0.34992498,0.34992498,14.170114
-7.000001e-05,0.34993,0.34993,14.170127
-6.5e-05,0.349935,0.349935,14.170151
-5.999999e-05,0.34994,0.34994,14.170175
-5.500001e-05,0.349945,0.349945,14.170194
-5.0000002e-05,0.34995,0.34995,14.170218
-4.4999993e-05,0.349955,0.349955,14.170238
-3.9999984e-05,0.34996,0.34996,14.170262
-3.5000005e-05,0.349965,0.349965,14.170286
-2.9999996e-05,0.34996998,0.34996998,14.170309
-2.5000016e-05,0.349975,0.349975,14.170331
-2.0000007e-05,0.34998,0.34998,14.170351
-1.4999998e-05,0.349985,0.349985,14.17037
-1.0000018e-05,0.34998998,0.34998998,14.170401
-4.99998e-06,0.349995,0.349995,14.170425
0.0,0.35,0.35,14.170446
4.99998e-06,0.350005,0.350005,14.170472
1.0000018e-05,0.35001,0.35001,14.170487
1.4999998e-05,0.35001498,0.35001498,14.17051
1.9999978e-05,0.35002,0.35002,14.17053
2.4999958e-05,0.350025,0.350025,14.17055
2.9999996e-05,0.35003,0.35003,14.170575
3.5000034e-05,0.35003498,0.35003498,14.170593
4.0000014e-05,0.35004,0.35004,14.170617
4.4999993e-05,0.350045,0.350045,14.170635
5.000003e-05,0.35005,0.35005,14.170661
5.500001e-05,0.35005498,0.35005498,14.170685
5.999999e-05,0.35006,0.35006,14.170704
6.500003e-05,0.350065,0.350065,14.170737
7.000001e-05,0.35007,0.35007,14.1707535
7.499999e-05,0.350075,0.350075,14.170784
7.999997e-05,0.35007998,0.35007998,14.170805
8.500001e-05,0.350085,0.350085,14.170816
8.999999e-05,0.35009,0.35009,14.170838
9.5000025e-05,0.350095,0.350095,14.170869
0.000100000005,0.35009998,0.35009998,14.170886
0.00010500004,0.350105,0.350105,14.170917
0.00011000002,0.35011,0.35011,14.170937
0.000115,0.350115,0.350115,14.17096
0.00011999998,0.35012,0.35012,14.170989
0.00012500002,0.35012498,0.35012498,14.171011
0.00013,0.35013,0.35013,14.171031
0.00013499998,0.350135,0.350135,14.171056
0.00014000002,0.35014,0.35014,14.171085
0.000145,0.35014498,0.35014498,14.171099
0.00014999998,0.35015,0.35015,14.171131
0.00015499996,0.350155,0.350155,14.17116
0.00016000005,0.35016,0.35016,14.171176
0.00016500003,0.35016498,0.35016498,14.171214
0.00017000001,0.35017,0.35017,14.171241
0.000175,0.350175,0.350175,14.171263
0.00018000003,0.35018,0.35018,14.1712885
0.00018500001,0.350185,0.350185,14.171294
0.00018999999,0.35018998,0.35018998,14.171313
0.00019500003,0.350195,0.350195,14.171325
0.00020000001,0.3502,0.3502,14.171348
0.00020499999,0.350205,0.350205,14.171371
0.00020999997,0.35020998,0.35020998,14.1713915
0.00021500001,0.350215,0.350215,14.171407
0.00022000005,0.35022,0.35022,14.171425
0.00022500003,0.350225,0.350225,14.171449
0.00023,0.35023,0.35023,14.171468
0.00023500004,0.350235,0.350235,14.171489
0.00024000002,0.35024,0.35024,14.171497
0.000245,0.350245,0.350245,14.171521
0.00024999998,0.35025,0.35025,14.1715355
0.00025500002,0.35025498,0.35025498,14.171562
0.00026,0.35026,0.35026,14.171574
0.00026499998,0.350265,0.350265,14.171599
0.00027000002,0.35027,0.35027,14.171626
0.000275,0.35027498,0.35027498,14.17164
0.00027999998,0.35028,0.35028,14.171661
0.00028500002,0.350285,0.350285,14.171689
0.00029000005,0.35029,0.35029,14.171708
0.00029500003,0.350295,0.350295,14.171731
0.0003,0.35029998,0.35029998,14.171755
0.000305,0.350305,0.350305,14.171765
0.00031000003,0.35031,0.35031,14.1717825
0.000315,0.350315,0.350315,14.171809
0.00032,0.35031998,0.35031998,14.171834
0.00032500003,0.350325,0.350325,14.171861
0.00033,0.35033,0.35033,14.171878
0.000335,0.350335,0.350335,14.171898
0.00033999997,0.35034,0.35034,14.171917
0.00034500007,0.350345,0.350345,14.171939
0.00035000005,0.35035,0.35035,14.17196
0.00035500003,0.350355,0.350355,14.171983
0.00036,0.35036,0.35036,14.172015
0.00036500004,0.35036498,0.35036498,14.172029
0.00037000002,0.35037,0.35037,14.172054
0.000375,0.350375,0.350375,14.172073
0.00038000004,0.35038,0.35038,14.172099
0.00038500002,0.35038498,0.35038498,14.172122
0.00039,0.35039,0.35039,14.172144
0.00039499998,0.350395,0.350395,14.172169
0.00040000002,0.3504,0.3504,14.172191
0.000405,0.350405,0.350405,14.172212
0.00041000004,0.35040998,0.35040998,14.172242
0.00041500002,0.350415,0.350415,14.172266
0.00042000005,0.35042,0.35042,14.172286
0.00042500003,0.350425,0.350425,14.172312
0.00043000001,0.35042998,0.35042998,14.172337
0.000435,0.350435,0.350435,14.172366
0.00044000003,0.35044,0.35044,14.172386
0.000445,0.350445,0.350445,14.172403
0.00045,0.35044998,0.35044998,14.172417
0.00045500003,0.350455,0.350455,14.172434
0.00046,0.35046,0.35046,14.172452
0.000465,0.350465,0.350465,14.172459
0.00047000003,0.35047,0.35047,14.172482
0.00047500007,0.35047498,0.35047498,14.172498
0.00048,0.35048,0.35048,14.172516
0.00048500003,0.350485,0.350485,14.172533
0.00049000006,0.35049,0.35049,14.17255
0.000495,0.35049498,0.35049498,14.172569
0.0005,0.3505,0.3505,14.172584
