delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-0.5,-0.22833744,-0.22833744,-0.47,-0.1787464,-0.1787464,4.621096
-0.5,-0.22833744,-0.22833744,-0.4553125,-0.1640589,-0.1640589,4.621096
-0.5,-0.22833744,-0.22833744,-0.440625,-0.14937142,-0.14937142,4.621096
-0.5,-0.22833744,-0.22833744,-0.4259375,-0.1346839,-0.1346839,4.621096
-0.5,-0.22833744,-0.22833744,-0.41125,-0.1199964,-0.1199964,4.621096
-0.5,-0.22833744,-0.22833744,-0.39656252,-0.10530892,-0.10530892,4.621096
-0.5,-0.22833744,-0.22833744,-0.381875,-0.09062141,-0.09062141,4.621096
-0.5,-0.22833744,-0.22833744,-0.3671875,-0.0759339,-0.0759339,4.621096
-0.5,-0.22833744,-0.22833744,-0.3525,-0.061246395,-0.061246395,4.621096
-0.5,-0.22833744,-0.22833744,-0.33781248,-0.046558887,-0.046558887,4.621096
-0.5,-0.22833744,-0.22833744,-0.323125,-0.03187141,-0.03187141,4.621096
-0.5,-0.22833744,-0.22833744,-0.3084375,-0.0171839,-0.0171839,4.621096
-0.5,-0.22833744,-0.22833744,-0.29375,-0.0024963915,-0.0024963915,4.621096
-0.5,-0.22833744,-0.22833744,-0.2790625,0.012191087,0.012191087,4.602506
-0.5,-0.22833744,-0.22833744,-0.264375,0.026878595,0.026878595,4.625068
-0.5,-0.22833744,-0.22833744,-0.2496875,0.041566104,0.041566104,4.6173577
-0.5,-0.22833744,-0.22833744,-0.235,0.056253597,0.056253597,4.7028794
-0.5,-0.22833744,-0.22833744,-0.2203125,0.07094109,0.07094109,4.6662583
-0.5,-0.22833744,-0.22833744,-0.205625,0.0856286,0.0856286,4.7319336
-0.5,-0.22833744,-0.22833744,-0.19093749,0.10031611,0.10031611,4.7991834
-0.5,-0.22833744,-0.22833744,-0.17625001,0.115003586,0.115003586,4.9377127
-0.5,-0.22833744,-0.22833744,-0.1615625,0.1296911,0.1296911,5.040511
-0.5,-0.22833744,-0.22833744,-0.146875,0.1443786,0.1443786,5.126952
-0.5,-0.22833744,-0.22833744,-0.13218749,0.15906611,0.15906611,5.228808
-0.5,-0.22833744,-0.22833744,-0.11750001,0.17375359,0.17375359,5.370989
-0.5,-0.22833744,-0.22833744,-0.1028125,0.1884411,0.1884411,5.463573
-0.5,-0.22833744,-0.22833744,-0.08812499,0.2031286,0.2031286,5.583954
-0.5,-0.22833744,-0.22833744,-0.07343751,0.21781608,0.21781608,5.712433
-0.5,-0.22833744,-0.22833744,-0.058750004,0.2325036,0.2325036,5.810097
-0.5,-0.22833744,-0.22833744,-0.044062495,0.2471911,0.2471911,5.9299107
-0.5,-0.22833744,-0.22833744,-0.029374987,0.2618786,0.2618786,5.7766185
-0.5,-0.22833744,-0.22833744,-0.014687508,0.2765661,0.2765661,6.0843725
-0.5,-0.22833744,-0.22833744,0.0,0.2912536,0.2912536,6.310537
-0.5,-0.22833744,-0.22833744,0.014687508,0.3059411,0.3059411,6.456974
-0.5,-0.22833744,-0.22833744,0.029374987,0.32062858,0.32062858,6.5352006
-0.5,-0.22833744,-0.22833744,0.044062525,0.33531612,0.33531612,6.680072
-0.5,-0.22833744,-0.22833744,0.058750004,0.3500036,0.3500036,6.7568364
-0.5,-0.22833744,-0.22833744,0.07343748,0.36469108,0.36469108,6.8655505
-0.5,-0.22833744,-0.22833744,0.08812502,0.37937862,0.37937862,6.8588276
-0.5,-0.22833744,-0.22833744,0.1028125,0.3940661,0.3940661,6.893735
-0.5,-0.22833744,-0.22833744,0.11749998,0.40875357,0.40875357,6.9393487
-0.5,-0.22833744,-0.22833744,0.13218752,0.4234411,0.4234411,6.897437
-0.5,-0.22833744,-0.22833744,0.146875,0.4381286,0.4381286,7.0090613
-0.5,-0.22833744,-0.22833744,0.16156247,0.45281607,0.45281607,6.9764194
-0.5,-0.22833744,-0.22833744,0.17625001,0.4675036,0.4675036,7.0114794
-0.5,-0.22833744,-0.22833744,0.19093749,0.4821911,0.4821911,7.038177
-0.5,-0.22833744,-0.22833744,0.20562503,0.49687862,0.49687862,6.9974647
-0.5,-0.22833744,-0.22833744,0.2203125,0.5115661,0.5115661,7.0460925
-0.5,-0.22833744,-0.22833744,0.23499998,0.5262536,0.5262536,6.991696
-0.5,-0.22833744,-0.22833744,0.24968752,0.5409411,0.5409411,7.043194
-0.5,-0.22833744,-0.22833744,0.264375,0.5556286,0.5556286,6.957854
-0.5,-0.22833744,-0.22833744,0.27906248,0.5703161,0.5703161,6.9852834
-0.5,-0.22833744,-0.22833744,0.29375002,0.5850036,0.5850036,6.915688
-0.5,-0.22833744,-0.22833744,0.3084375,0.5996911,0.5996911,6.898656
-0.5,-0.22833744,-0.22833744,0.32312497,0.6143786,0.6143786,6.887775
-0.5,-0.22833744,-0.22833744,0.3378125,0.6290661,0.6290661,6.823401
-0.5,-0.22833744,-0.22833744,0.3525,0.6437536,0.6437536,6.7891083
-0.5,-0.22833744,-0.22833744,0.36718747,0.65844107,0.65844107,6.770796
-0.5,-0.22833744,-0.22833744,0.381875,0.6731286,0.6731286,6.7417994
-0.5,-0.22833744,-0.22833744,0.3965625,0.6878161,0.6878161,6.6959023
-0.5,-0.22833744,-0.22833744,0.41125003,0.7025036,0.7025036,6.625665
-0.5,-0.22833744,-0.22833744,0.4259375,0.7171911,0.7171911,6.5245547
-0.5,-0.22833744,-0.22833744,0.44062498,0.7318786,0.7318786,6.4497247
-0.5,-0.22833744,-0.22833744,0.45531252,0.7465661,0.7465661,6.363877
