delta,transformedValue,naturalValue,loss
-0.5,-0.22833744,-0.22833744,6.310537
-0.49,-0.21833745,-0.21833745,6.212351
-0.48,-0.20833743,-0.20833743,6.055732
-0.47,-0.19833744,-0.19833744,5.9588094
-0.46,-0.18833745,-0.18833745,5.8797035
-0.45,-0.17833742,-0.17833742,5.7439995
-0.44,-0.16833743,-0.16833743,5.6245637
-0.43,-0.15833744,-0.15833744,5.4460707
-0.42000002,-0.14833745,-0.14833745,5.373506
-0.41,-0.13833743,-0.13833743,5.236929
-0.4,-0.12833744,-0.12833744,5.1195273
-0.39,-0.11833742,-0.11833742,4.9587073
-0.38,-0.10833743,-0.10833743,4.9053373
-0.37,-0.09833744,-0.09833744,4.7992907
-0.36,-0.08833745,-0.08833745,4.632471
-0.35,-0.07833743,-0.07833743,4.5156164
-0.34,-0.06833744,-0.06833744,4.4142036
-0.32999998,-0.05833742,-0.05833742,4.281279
-0.32,-0.04833743,-0.04833743,4.149751
-0.31,-0.03833744,-0.03833744,4.040382
-0.3,-0.028337449,-0.028337449,3.8842773
-0.29000002,-0.018337458,-0.018337458,3.7589164
-0.28,-0.008337438,-0.008337438,3.638146
-0.26999998,0.0016625822,0.0016625822,3.4722962
-0.26,0.011662573,0.011662573,3.3211167
-0.25,0.021662563,0.021662563,3.124442
-0.24000001,0.031662554,0.031662554,2.9771445
-0.22999999,0.041662574,0.041662574,2.839169
-0.22,0.051662564,0.051662564,2.7771266
-0.21000001,0.061662555,0.061662555,2.6924016
-0.19999999,0.071662575,0.071662575,2.6237617
-0.19,0.081662565,0.081662565,2.5258322
-0.18,0.091662556,0.091662556,2.40608
-0.16999999,0.101662576,0.101662576,2.3062954
-0.16,0.11166257,0.11166257,2.2151806
-0.15,0.12166256,0.12166256,2.0754948
-0.13999999,0.13166258,0.13166258,1.9734169
-0.13,0.14166257,0.14166257,1.8821695
-0.120000005,0.15166256,0.15166256,1.8066143
-0.110000014,0.16166255,0.16166255,1.7095248
-0.099999994,0.17166257,0.17166257,1.6332314
-0.09,0.18166256,0.18166256,1.5777005
-0.08000001,0.19166255,0.19166255,1.5221426
-0.06999999,0.20166257,0.20166257,1.4693773
-0.060000002,0.21166256,0.21166256,1.4429121
-0.050000012,0.22166255,0.22166255,1.4312301
-0.03999999,0.23166257,0.23166257,1.3997737
-0.030000001,0.24166256,0.24166256,1.391811
-0.02000001,0.25166255,0.25166255,1.3952886
-0.00999999,0.26166257,0.26166257,1.4055525
0.0,0.27166256,0.27166256,1.4070086
0.00999999,0.28166255,0.28166255,1.4414781
0.01999998,0.29166254,0.29166254,1.489199
0.029999971,0.30166253,0.30166253,1.5570706
0.04000002,0.31166258,0.31166258,1.6556679
0.050000012,0.32166258,0.32166258,1.7462059
0.060000002,0.33166257,0.33166257,1.8103898
0.06999999,0.34166256,0.34166256,1.8818346
0.07999998,0.35166255,0.35166255,1.9419914
0.089999974,0.36166254,0.36166254,1.9795437
0.100000024,0.3716626,0.3716626,1.9968798
0.110000014,0.38166258,0.38166258,2.0063133
0.120000005,0.39166257,0.39166257,2.0045364
0.13,0.40166256,0.40166256,1.9940583
0.13999999,0.41166255,0.41166255,1.9867979
0.14999998,0.42166254,0.42166254,1.9628874
0.16000003,0.4316626,0.4316626,1.9271419
0.17000002,0.44166258,0.44166258,1.8925768
0.18,0.45166257,0.45166257,1.8531322
0.19,0.46166256,0.46166256,1.812058
0.19999999,0.47166255,0.47166255,1.7716429
0.20999998,0.48166254,0.48166254,1.7228193
0.22000003,0.4916626,0.4916626,1.6866733
0.23000002,0.5016626,0.5016626,1.6638633
0.24000001,0.5116626,0.5116626,1.6514174
0.25,0.5216626,0.5216626,1.655909
0.26,0.5316626,0.5316626,1.674579
0.26999998,0.5416626,0.5416626,1.7151108
0.27999997,0.55166256,0.55166256,1.7758173
0.29000002,0.56166255,0.56166255,1.841021
0.3,0.57166255,0.57166255,1.9202033
0.31,0.58166254,0.58166254,2.0161881
0.32,0.5916625,0.5916625,2.128345
0.32999998,0.6016625,0.6016625,2.2234664
0.33999997,0.6116625,0.6116625,2.3185186
0.35000002,0.6216626,0.6216626,2.454425
0.36,0.6316626,0.6316626,2.5827987
0.37,0.6416626,0.6416626,2.6921127
0.38,0.6516626,0.6516626,2.8565977
0.39,0.6616626,0.6616626,2.965719
0.39999998,0.67166257,0.67166257,3.1184163
0.41000003,0.68166256,0.68166256,3.2376957
0.42000002,0.69166255,0.69166255,3.4136903
0.43,0.70166254,0.70166254,3.5219436
0.44,0.71166253,0.71166253,3.7191665
0.45,0.7216625,0.7216625,3.8202739
0.45999998,0.7316625,0.7316625,3.9874396
0.47000003,0.7416626,0.7416626,4.143905
0.48000002,0.7516626,0.7516626,4.2211814
0.49,0.7616626,0.7616626,4.412704
0.5,0.7716626,0.7716626,4.552045
