delta,transformedValue,naturalValue,loss
-0.47,-0.14240831,-0.14240831,2.6872149
-0.4606,-0.1330083,-0.1330083,2.6872149
-0.4512,-0.12360832,-0.12360832,2.6872149
-0.4418,-0.11420831,-0.11420831,2.6872149
-0.4324,-0.1048083,-0.1048083,2.6872149
-0.423,-0.09540832,-0.09540832,2.6872149
-0.4136,-0.08600831,-0.08600831,2.6872149
-0.4042,-0.0766083,-0.0766083,2.6872149
-0.3948,-0.06720832,-0.06720832,2.6872149
-0.3854,-0.05780831,-0.05780831,2.6872149
-0.376,-0.0484083,-0.0484083,2.6872149
-0.3666,-0.03900832,-0.03900832,2.6872149
-0.3572,-0.02960831,-0.02960831,2.6872149
-0.34780002,-0.020208329,-0.020208329,2.6872149
-0.3384,-0.010808319,-0.010808319,2.6872149
-0.329,-0.0014083087,-0.0014083087,2.6872149
-0.3196,0.007991701,0.007991701,2.6872149
-0.31019998,0.017391711,0.017391711,2.6599898
-0.3008,0.026791692,0.026791692,2.6565819
-0.29140002,0.036191672,0.036191672,2.6439717
-0.282,0.045591682,0.045591682,2.602244
-0.2726,0.054991692,0.054991692,2.599821
-0.26319999,0.0643917,0.0643917,2.5652277
-0.25379997,0.07379171,0.07379171,2.5715392
-0.24440001,0.08319168,0.08319168,2.5298831
-0.235,0.09259169,0.09259169,2.5063288
-0.2256,0.10199168,0.10199168,2.5095463
-0.2162,0.11139169,0.11139169,2.4174776
-0.20679998,0.1207917,0.1207917,2.3819957
-0.1974,0.13019168,0.13019168,2.353564
-0.188,0.1395917,0.1395917,2.289533
-0.17859998,0.1489917,0.1489917,2.2431357
-0.1692,0.15839168,0.15839168,2.2245698
-0.1598,0.1677917,0.1677917,2.1680229
-0.15039998,0.1771917,0.1771917,2.111703
-0.141,0.18659168,0.18659168,2.0632465
-0.13159999,0.1959917,0.1959917,2.0161953
-0.12219998,0.2053917,0.2053917,1.9487345
-0.1128,0.21479169,0.21479169,1.8947186
-0.10340002,0.22419167,0.22419167,1.8365126
-0.09399998,0.2335917,0.2335917,1.7708603
-0.0846,0.24299169,0.24299169,1.7130505
-0.07520002,0.25239167,0.25239167,1.6601508
-0.06579998,0.2617917,0.2617917,1.5869337
-0.0564,0.2711917,0.2711917,1.5318495
-0.04700002,0.28059167,0.28059167,1.4702035
-0.03759998,0.2899917,0.2899917,1.424262
-0.0282,0.2993917,0.2993917,1.3850905
-0.01880002,0.30879167,0.30879167,1.3587934
-0.00939998,0.3181917,0.3181917,1.353784
0.0,0.3275917,0.3275917,1.358517
0.00939998,0.33699167,0.33699167,1.3710012
0.01879999,0.34639168,0.34639168,1.3998471
0.02819997,0.35579166,0.35579166,1.4709476
0.03760001,0.3651917,0.3651917,1.4583831
0.04700002,0.3745917,0.3745917,1.4655917
0.05640003,0.38399172,0.38399172,1.5165318
0.06579998,0.39339167,0.39339167,1.5767969
0.07519999,0.40279168,0.40279168,1.6101869
0.0846,0.4121917,0.4121917,1.655756
0.09400001,0.4215917,0.4215917,1.7082
0.10340002,0.4309917,0.4309917,1.781599
0.11280003,0.44039172,0.44039172,1.8195841
0.12219998,0.44979167,0.44979167,1.8642832
0.13159999,0.45919168,0.45919168,1.8729554
0.141,0.4685917,0.4685917,1.8695878
0.15040001,0.4779917,0.4779917,1.9116731
0.15980002,0.4873917,0.4873917,1.9585086
0.16920003,0.49679172,0.49679172,1.9873194
0.17859998,0.5061917,0.5061917,1.9663634
0.188,0.5155917,0.5155917,1.9645824
0.1974,0.5249917,0.5249917,1.9384364
0.20680001,0.5343917,0.5343917,1.8633037
0.21620002,0.5437917,0.5437917,1.8883371
0.22560003,0.5531917,0.5531917,1.8935167
0.23499998,0.5625917,0.5625917,1.8212085
0.2444,0.5719917,0.5719917,1.7041354
0.2538,0.5813917,0.5813917,1.6667467
0.26319996,0.59079164,0.59079164,1.6811676
0.27260002,0.6001917,0.6001917,1.638585
0.28200004,0.6095917,0.6095917,1.6031367
0.2914,0.6189917,0.6189917,1.5811092
0.3008,0.6283917,0.6283917,1.5483396
0.3102,0.6377917,0.6377917,1.5235513
0.31959996,0.64719164,0.64719164,1.4971355
0.32900003,0.6565917,0.6565917,1.4797019
0.33840004,0.6659917,0.6659917,1.4783022
0.3478,0.6753917,0.6753917,1.492175
0.3572,0.6847917,0.6847917,1.504432
0.3666,0.6941917,0.6941917,1.5352963
0.37599996,0.70359164,0.70359164,1.5835047
0.38540003,0.7129917,0.7129917,1.642658
0.39480004,0.7223917,0.7223917,1.7126067
0.4042,0.7317917,0.7317917,1.718134
0.4136,0.7411917,0.7411917,1.7365623
0.423,0.7505917,0.7505917,1.7610383
0.43239996,0.75999165,0.75999165,1.7784536
0.44180003,0.7693917,0.7693917,1.8020878
0.45120004,0.7787917,0.7787917,1.8346765
0.4606,0.7881917,0.7881917,1.865337
0.47,0.7975917,0.7975917,1.8925074
