delta,transformedValue,naturalValue,loss
-0.47,0.17137018,0.17137018,3.242082
-0.4653,0.17607018,0.17607018,4.1121917
-0.4606,0.18077019,0.18077019,3.6039503
-0.4559,0.18547016,0.18547016,3.3388302
-0.4512,0.19017017,0.19017017,3.371242
-0.4465,0.19487017,0.19487017,3.4204714
-0.4418,0.19957018,0.19957018,3.486796
-0.4371,0.20427018,0.20427018,3.4150774
-0.4324,0.20897019,0.20897019,3.3919942
-0.42769998,0.2136702,0.2136702,3.3636656
-0.423,0.21837017,0.21837017,3.312879
-0.4183,0.22307017,0.22307017,3.3758154
-0.4136,0.22777018,0.22777018,3.457502
-0.4089,0.23247018,0.23247018,3.5888145
-0.4042,0.23717019,0.23717019,3.577846
-0.3995,0.24187016,0.24187016,3.6024642
-0.3948,0.24657017,0.24657017,3.6004107
-0.3901,0.25127017,0.25127017,3.6329255
-0.3854,0.25597018,0.25597018,3.5890858
-0.3807,0.26067019,0.26067019,3.5968182
-0.376,0.2653702,0.2653702,3.6686616
-0.3713,0.27007017,0.27007017,3.7603934
-0.3666,0.27477017,0.27477017,3.8056562
-0.3619,0.27947018,0.27947018,3.8711705
-0.3572,0.28417018,0.28417018,3.8708692
-0.3525,0.2888702,0.2888702,3.8747787
-0.34780002,0.29357016,0.29357016,3.8818893
-0.3431,0.29827017,0.29827017,3.887079
-0.3384,0.30297017,0.30297017,3.8908706
-0.3337,0.30767018,0.30767018,3.9415855
-0.329,0.31237018,0.31237018,4.040834
-0.3243,0.3170702,0.3170702,4.143538
-0.3196,0.3217702,0.3217702,4.1308
-0.31489998,0.3264702,0.3264702,4.267346
-0.31019998,0.3311702,0.3311702,4.235741
-0.3055,0.33587018,0.33587018,4.2430105
-0.3008,0.34057018,0.34057018,4.2505774
-0.2961,0.3452702,0.3452702,4.2160416
-0.29140002,0.34997016,0.34997016,4.285832
-0.2867,0.35467017,0.35467017,4.2482357
-0.282,0.35937017,0.35937017,4.3230624
-0.2773,0.36407018,0.36407018,4.4911094
-0.2726,0.36877018,0.36877018,4.5598383
-0.2679,0.3734702,0.3734702,4.5733542
-0.26319999,0.3781702,0.3781702,4.5799675
-0.2585,0.38287017,0.38287017,4.5649037
-0.25379997,0.3875702,0.3875702,4.593564
-0.2491,0.39227018,0.39227018,4.638669
-0.24440001,0.39697015,0.39697015,4.7641234
-0.23969999,0.4016702,0.4016702,4.8628817
-0.235,0.40637016,0.40637016,4.9019437
-0.23030001,0.41107017,0.41107017,4.9549303
-0.2256,0.41577017,0.41577017,4.9144564
-0.22090001,0.42047018,0.42047018,4.9220896
-0.2162,0.42517018,0.42517018,4.9665956
-0.21149999,0.4298702,0.4298702,4.9607897
-0.20679998,0.4345702,0.4345702,5.0315886
-0.20210001,0.43927017,0.43927017,5.1361747
-0.1974,0.44397017,0.44397017,5.2145844
-0.1927,0.44867018,0.44867018,5.280301
-0.188,0.45337018,0.45337018,5.284485
-0.18329999,0.4580702,0.4580702,5.298458
-0.17859998,0.4627702,0.4627702,5.295059
-0.17390001,0.46747017,0.46747017,5.3057933
-0.1692,0.47217017,0.47217017,5.320368
-0.1645,0.47687018,0.47687018,5.358688
-0.1598,0.48157018,0.48157018,5.436049
-0.15509999,0.4862702,0.4862702,5.5333633
-0.15039998,0.4909702,0.4909702,5.5828376
-0.14570001,0.49567017,0.49567017,5.555048
-0.141,0.50037014,0.50037014,6.427827
-0.1363,0.5050702,0.5050702,5.58035
-0.13159999,0.50977015,0.50977015,5.5819654
-0.12689999,0.5144702,0.5144702,5.6010575
-0.12219998,0.51917017,0.51917017,5.649841
-0.11750001,0.52387017,0.52387017,5.7212906
-0.1128,0.5285702,0.5285702,5.8170476
-0.1081,0.5332702,0.5332702,5.8648725
-0.10340002,0.5379702,0.5379702,5.8430386
-0.09869999,0.5426702,0.5426702,5.8329997
-0.09399998,0.5473702,0.5473702,5.8226175
-0.08930001,0.55207014,0.55207014,5.8423324
-0.0846,0.5567702,0.5567702,5.8325257
-0.0799,0.56147015,0.56147015,5.879947
-0.07520002,0.56617016,0.56617016,5.943786
-0.07049999,0.57087016,0.57087016,6.019326
-0.06579998,0.5755702,0.5755702,6.0301642
-0.061100006,0.5802702,0.5802702,6.018612
-0.0564,0.5849702,0.5849702,6.0355144
-0.051699996,0.5896702,0.5896702,6.081197
-0.04700002,0.5943701,0.5943701,5.9987936
-0.042299986,0.5990702,0.5990702,6.062628
-0.03759998,0.6037702,0.6037702,6.081695
-0.032900006,0.6084702,0.6084702,6.1290092
-0.0282,0.61317015,0.61317015,6.1962805
-0.023499995,0.6178702,0.6178702,6.2170773
-0.01880002,0.62257016,0.62257016,6.231194
-0.014099985,0.6272702,0.6272702,6.21582
-0.00939998,0.63197017,0.63197017,6.1922503
-0.004700005,0.6366702,0.6366702,6.1372437
0.0,0.6413702,0.6413702,6.046857
0.004700005,0.6460702,0.6460702,6.096435
0.00939998,0.6507702,0.6507702,6.3351507
0.014099985,0.65547013,0.65547013,6.3298154
0.01879999,0.6601702,0.6601702,6.4170213
0.023499966,0.66487014,0.66487014,6.3603287
0.02819997,0.66957015,0.66957015,6.3749223
0.032900006,0.67427015,0.67427015,6.3460207
0.03760001,0.6789702,0.6789702,6.2742844
0.042300016,0.68367016,0.68367016,6.3420796
0.04700002,0.6883702,0.6883702,6.3408957
0.051700026,0.6930702,0.6930702,6.39515
0.05640003,0.69777024,0.69777024,6.4627743
0.061099976,0.7024702,0.7024702,6.4752016
0.06579998,0.7071701,0.7071701,6.447137
0.07049999,0.7118702,0.7118702,6.4162416
0.07519999,0.71657014,0.71657014,6.3831472
0.0799,0.7212702,0.7212702,6.386263
0.0846,0.72597015,0.72597015,6.37907
0.08930001,0.7306702,0.7306702,6.4307504
0.09400001,0.73537016,0.73537016,6.466041
0.09870002,0.7400702,0.7400702,6.474664
0.10340002,0.74477017,0.74477017,6.477415
0.10810003,0.74947023,0.74947023,6.7419157
0.11280003,0.7541702,0.7541702,6.411822
0.11749998,0.7588701,0.7588701,6.374813
0.12219998,0.7635702,0.7635702,6.340618
0.12689999,0.76827013,0.76827013,6.362037
0.13159999,0.7729702,0.7729702,6.3532095
0.1363,0.77767015,0.77767015,6.402778
0.141,0.7823702,0.7823702,6.381842
0.14569995,0.78707016,0.78707016,6.408808
0.15040001,0.7917702,0.7917702,6.382266
0.15510002,0.79647017,0.79647017,6.3279796
0.15980002,0.80117023,0.80117023,6.284392
0.16450003,0.8058702,0.8058702,6.2427115
0.16920003,0.81057024,0.81057024,6.2161255
0.17389998,0.8152702,0.8152702,6.316321
0.17859998,0.81997013,0.81997013,6.5273576
0.18329999,0.8246702,0.8246702,6.719628
0.188,0.82937014,0.82937014,6.3008456
0.1927,0.8340702,0.8340702,6.1902566
0.1974,0.83877015,0.83877015,6.109171
0.20209995,0.8434701,0.8434701,6.0919876
0.20680001,0.84817016,0.84817016,6.0374937
0.21150002,0.8528702,0.8528702,6.0089655
0.21620002,0.8575702,0.8575702,6.0347147
0.22090003,0.86227024,0.86227024,6.044885
0.22560003,0.8669702,0.8669702,6.084405
0.23029998,0.8716701,0.8716701,6.0870867
0.23499998,0.8763702,0.8763702,6.0214562
0.23969999,0.88107014,0.88107014,5.9500513
0.2444,0.8857702,0.8857702,5.9238887
0.2491,0.89047015,0.89047015,5.8512554
0.2538,0.8951702,0.8951702,5.871574
0.25849995,0.89987016,0.89987016,5.8616586
0.26319996,0.9045701,0.9045701,5.8432636
0.26790002,0.90927017,0.90927017,5.992899
0.27260002,0.91397023,0.91397023,5.944244
0.27730003,0.9186702,0.9186702,5.8470097
0.28200004,0.92337024,0.92337024,5.804586
0.28669998,0.9280702,0.9280702,5.7532845
0.2914,0.93277013,0.93277013,5.7095246
0.2961,0.9374702,0.9374702,5.7027493
0.3008,0.94217014,0.94217014,5.7074885
0.3055,0.9468702,0.9468702,5.746399
0.3102,0.95157015,0.95157015,5.7865696
0.31489995,0.9562701,0.9562701,5.7492905
0.31959996,0.96097016,0.96097016,5.7102976
0.32430002,0.9656702,0.9656702,5.6421094
0.32900003,0.9703702,0.9703702,5.5809016
0.33370003,0.97507024,0.97507024,5.53144
0.33840004,0.9797702,0.9797702,5.584002
0.34309998,0.9844701,0.9844701,5.5049367
0.3478,0.9891702,0.9891702,5.6473107
0.3525,0.99387014,0.99387014,5.5437245
0.3572,0.9985702,0.9985702,5.5437245
0.3619,1.0032701,1.0032701,5.5437245
0.3666,1.0079702,1.0079702,5.5437245
0.37129995,1.0126702,1.0126702,5.5437245
0.37599996,1.0173701,1.0173701,5.5437245
0.38069996,1.0220702,1.0220702,5.5437245
0.38540003,1.0267702,1.0267702,5.5437245
0.39010003,1.0314702,1.0314702,5.5437245
0.39480004,1.0361702,1.0361702,5.5437245
0.39949998,1.0408702,1.0408702,5.5437245
0.4042,1.0455701,1.0455701,5.5437245
0.4089,1.0502702,1.0502702,5.5437245
0.4136,1.0549701,1.0549701,5.5437245
0.4183,1.0596702,1.0596702,5.5437245
0.423,1.0643702,1.0643702,5.5437245
0.4277,1.0690702,1.0690702,5.5437245
0.43239996,1.0737702,1.0737702,5.5437245
0.43709996,1.0784701,1.0784701,5.5437245
0.44180003,1.0831702,1.0831702,5.5437245
0.44650003,1.0878702,1.0878702,5.5437245
0.45120004,1.0925702,1.0925702,5.5437245
0.45589998,1.0972701,1.0972701,5.5437245
0.4606,1.1019702,1.1019702,5.5437245
0.4653,1.1066701,1.1066701,5.5437245
0.47,1.1113702,1.1113702,5.5437245
