delta,transformedValue,naturalValue,loss
-0.03,0.61188996,0.61188996,1.8921583
-0.0295,0.6123899,0.6123899,1.8655664
-0.029,0.61288995,0.61288995,2.2651987
-0.0285,0.6133899,0.6133899,2.377464
-0.027999999,0.61388993,0.61388993,2.2213411
-0.0275,0.61438996,0.61438996,1.8156997
-0.026999999,0.6148899,0.6148899,1.837344
-0.0265,0.61538994,0.61538994,2.229816
-0.025999999,0.6158899,0.6158899,2.3283968
-0.0255,0.61638993,0.61638993,2.1620197
-0.024999999,0.61688995,0.61688995,1.7424878
-0.0245,0.6173899,0.6173899,1.8117148
-0.024,0.61788994,0.61788994,2.193659
-0.0235,0.6183899,0.6183899,2.2825751
-0.023,0.6188899,0.6188899,2.1083658
-0.022499999,0.61938995,0.61938995,1.6758189
-0.022,0.6198899,0.6198899,1.7938601
-0.021499999,0.62038994,0.62038994,2.1642582
-0.020999998,0.6208899,0.6208899,2.241772
-0.0205,0.6213899,0.6213899,2.0580783
-0.02,0.62188995,0.62188995,1.614608
-0.019499999,0.6223899,0.6223899,1.7771811
-0.019,0.62288994,0.62288994,2.1355686
-0.0185,0.62338996,0.62338996,2.2027812
-0.018,0.6238899,0.6238899,2.0093105
-0.0175,0.62438995,0.62438995,1.5537772
-0.016999999,0.6248899,0.6248899,1.7641518
-0.0165,0.62538993,0.62538993,2.1142445
-0.015999999,0.62588996,0.62588996,2.173567
-0.0155,0.6263899,0.6263899,1.9713783
-0.015,0.62688994,0.62688994,1.5003135
-0.0145000005,0.6273899,0.6273899,1.7539434
-0.013999999,0.62788993,0.62788993,2.093032
-0.013499999,0.62838995,0.62838995,2.1411867
-0.013,0.6288899,0.6288899,1.9288994
-0.012500001,0.62938994,0.62938994,1.4416173
-0.011999998,0.6298899,0.6298899,1.738805
-0.011499999,0.6303899,0.6303899,2.0637648
-0.011,0.63088995,0.63088995,2.097224
-0.010500001,0.6313899,0.6313899,1.8700625
-0.01,0.63188994,0.63188994,1.3650737
-0.009499999,0.6323899,0.6323899,1.7069823
-0.009,0.6328899,0.6328899,2.022781
-0.0085,0.63338995,0.63338995,2.045825
-0.007999999,0.6338899,0.6338899,1.8040091
-0.0075000003,0.63438994,0.63438994,1.2852645
-0.007000001,0.6348899,0.6348899,1.6757597
-0.0064999983,0.6353899,0.6353899,1.9836152
-0.005999999,0.63588995,0.63588995,1.9977795
-0.0055,0.6363899,0.6363899,1.7459487
-0.005000001,0.63688993,0.63688993,1.2212328
-0.0045,0.63738996,0.63738996,1.6625669
-0.003999999,0.6378899,0.6378899,1.9636341
-0.0034999996,0.63838995,0.63838995,1.9670789
-0.0030000005,0.6388899,0.6388899,1.7003543
-0.0024999995,0.63938993,0.63938993,1.1722002
-0.0020000003,0.63988996,0.63988996,1.6483485
-0.0015000012,0.6403899,0.6403899,1.9371631
-0.0010000002,0.64088994,0.64088994,1.9236625
-0.00049999915,0.6413899,0.6413899,1.643547
0.0,0.6418899,0.6418899,1.122344
0.00049999915,0.64238995,0.64238995,1.632378
0.0009999983,0.6428899,0.6428899,1.9146171
0.0014999975,0.64338994,0.64338994,1.8897101
0.0020000022,0.6438899,0.6438899,1.5967332
0.0024999995,0.6443899,0.6443899,1.0889537
0.0030000005,0.64488995,0.64488995,1.621592
0.0035000015,0.6453899,0.6453899,1.8880707
0.003999999,0.64588994,0.64588994,1.8484359
0.0045,0.6463899,0.6463899,1.5409113
0.004999997,0.6468899,0.6468899,1.0582068
0.005499998,0.64738995,0.64738995,1.5988421
0.006000003,0.6478899,0.6478899,1.8480392
0.0065,0.64838994,0.64838994,1.7950155
0.007000001,0.64888996,0.64888996,1.4716231
0.0074999984,0.6493899,0.6493899,1.0220671
0.007999999,0.64988995,0.64988995,1.5684602
0.0085,0.6503899,0.6503899,1.8099561
0.008999998,0.65088993,0.65088993,1.750916
0.0095000025,0.65138996,0.65138996,1.4150317
0.01,0.6518899,0.6518899,1.0068806
0.010500001,0.65238994,0.65238994,1.5531641
0.011000002,0.6528899,0.6528899,1.783627
0.011499999,0.65338993,0.65338993,1.7117392
0.012,0.65388995,0.65388995,1.3554533
0.012499997,0.6543899,0.6543899,0.9805623
0.012999998,0.65488994,0.65488994,1.5200031
0.013499999,0.6553899,0.6553899,1.7310624
0.014,0.6558899,0.6558899,1.6358858
0.014500001,0.65638995,0.65638995,1.2525312
0.014999999,0.6568899,0.6568899,0.9059571
0.0155,0.65738994,0.65738994,1.4013574
0.015999997,0.6578899,0.6578899,1.5674672
0.016499998,0.6583899,0.6583899,1.4292581
0.017000003,0.65888995,0.65888995,0.99831164
0.0175,0.6593899,0.6593899,0.6635564
0.018000001,0.65988994,0.65988994,1.1158186
0.018499998,0.6603899,0.6603899,1.2501606
0.019,0.6608899,0.6608899,1.0801214
0.0195,0.66138995,0.66138995,0.5999136
0.019999998,0.6618899,0.6618899,0.34031135
0.020499999,0.66238993,0.66238993,0.9619857
0.021,0.66288996,0.66288996,1.2313654
0.0215,0.6633899,0.6633899,1.1942285
0.022000002,0.66388994,0.66388994,0.85928756
0.022499999,0.6643899,0.6643899,0.7661601
0.023,0.66488993,0.66488993,1.3285466
0.023499997,0.66538996,0.66538996,1.5578334
0.023999998,0.6658899,0.6658899,1.482838
0.0245,0.66638994,0.66638994,1.1028788
0.025,0.6668899,0.6668899,1.0201377
0.025500001,0.6673899,0.6673899,1.5410383
0.025999999,0.66788995,0.66788995,1.7260233
0.0265,0.6683899,0.6683899,1.606237
0.026999997,0.66888994,0.66888994,1.1763324
0.027499998,0.6693899,0.6693899,1.1289083
0.027999999,0.6698899,0.6698899,1.6208266
0.0285,0.67038995,0.67038995,1.7763035
0.029000001,0.6708899,0.6708899,1.6299788
0.029499998,0.67138994,0.67138994,1.1874034
0.03,0.6718899,0.6718899,1.1938896
