delta,transformedValue,naturalValue,loss
-0.4,0.04493153,0.04493153,1.3011453
-0.3975,0.04743153,0.04743153,1.279203
-0.395,0.049931526,0.049931526,1.2958273
-0.3925,0.052431524,0.052431524,1.3151523
-0.39000002,0.05493152,0.05493152,1.3315383
-0.38750002,0.05743152,0.05743152,1.3376629
-0.385,0.059931546,0.059931546,1.3344512
-0.3825,0.062431544,0.062431544,1.3286529
-0.38,0.06493154,0.06493154,1.3253405
-0.3775,0.06743154,0.06743154,1.3178778
-0.375,0.06993154,0.06993154,1.3014442
-0.3725,0.072431535,0.072431535,1.2793844
-0.37,0.07493153,0.07493153,1.2602738
-0.3675,0.07743153,0.07743153,1.2534832
-0.365,0.07993153,0.07993153,1.2610774
-0.3625,0.082431525,0.082431525,1.2730213
-0.36,0.08493152,0.08493152,1.2813276
-0.35750002,0.08743152,0.08743152,1.2860025
-0.35500002,0.08993152,0.08993152,1.2880051
-0.35250002,0.092431515,0.092431515,1.2932802
-0.35,0.09493154,0.09493154,1.2983506
-0.3475,0.09743154,0.09743154,1.3021367
-0.345,0.09993154,0.09993154,1.3015541
-0.3425,0.102431536,0.102431536,1.2952336
-0.34,0.10493153,0.10493153,1.28697
-0.3375,0.10743153,0.10743153,1.2820634
-0.335,0.10993153,0.10993153,1.2779775
-0.3325,0.112431526,0.112431526,1.2736342
-0.33,0.114931524,0.114931524,1.2698959
-0.3275,0.11743155,0.11743155,1.26549
-0.325,0.11993155,0.11993155,1.2606517
-0.3225,0.12243155,0.12243155,1.255835
-0.32,0.124931544,0.124931544,1.2518054
-0.3175,0.12743154,0.12743154,1.2494363
-0.315,0.12993154,0.12993154,1.2499787
-0.3125,0.13243154,0.13243154,1.2489498
-0.31,0.13493153,0.13493153,1.2501777
-0.3075,0.13743153,0.13743153,1.2543662
-0.305,0.13993153,0.13993153,1.2548553
-0.3025,0.14243153,0.14243153,1.2583977
-0.3,0.14493152,0.14493152,1.2593056
-0.2975,0.14743152,0.14743152,1.2615035
-0.29500002,0.14993152,0.14993152,1.2618808
-0.2925,0.15243155,0.15243155,1.2622943
-0.29,0.15493155,0.15493155,1.2635632
-0.2875,0.15743154,0.15743154,1.2652576
-0.285,0.15993154,0.15993154,1.2677552
-0.2825,0.16243154,0.16243154,1.2706387
-0.28,0.16493154,0.16493154,1.2734272
-0.2775,0.16743153,0.16743153,1.2749636
-0.275,0.16993153,0.16993153,1.2770319
-0.2725,0.17243153,0.17243153,1.276964
-0.27,0.17493153,0.17493153,1.2776734
-0.26749998,0.17743155,0.17743155,1.2769337
-0.265,0.17993155,0.17993155,1.2760361
-0.2625,0.18243155,0.18243155,1.2744496
-0.26,0.18493155,0.18493155,1.2762883
