delta,transformedValue,naturalValue,loss
-0.25,-0.050023302,-0.050023302,4.9193664
-0.245,-0.045023307,-0.045023307,4.8118715
-0.24,-0.040023297,-0.040023297,4.7074537
-0.235,-0.0350233,-0.0350233,4.6015763
-0.23,-0.030023307,-0.030023307,4.4984436
-0.225,-0.025023296,-0.025023296,4.398926
-0.22,-0.020023301,-0.020023301,4.303042
-0.215,-0.015023306,-0.015023306,4.2106504
-0.21000001,-0.010023311,-0.010023311,4.1158195
-0.205,-0.0050233006,-0.0050233006,4.022179
-0.2,-2.3305416e-05,-2.3305416e-05,3.9247043
-0.195,0.0049767047,0.0049767047,3.825191
-0.19,0.0099767,0.0099767,3.7215824
-0.185,0.014976695,0.014976695,3.6139793
-0.18,0.01997669,0.01997669,3.5060203
-0.175,0.0249767,0.0249767,3.3992865
-0.17,0.029976696,0.029976696,3.2864776
-0.16499999,0.034976706,0.034976706,3.1772134
-0.16,0.0399767,0.0399767,3.0652702
-0.155,0.044976696,0.044976696,2.952251
-0.15,0.04997669,0.04997669,2.8384385
-0.14500001,0.054976687,0.054976687,2.727245
-0.14,0.059976697,0.059976697,2.6226022
-0.13499999,0.06497671,0.06497671,2.5188775
-0.13,0.0699767,0.0699767,2.4140987
-0.125,0.0749767,0.0749767,2.3084614
-0.120000005,0.07997669,0.07997669,2.211875
-0.114999995,0.0849767,0.0849767,2.1159344
-0.11,0.0899767,0.0899767,2.0253987
-0.105000004,0.09497669,0.09497669,1.9390568
-0.099999994,0.0999767,0.0999767,1.8577195
-0.095,0.1049767,0.1049767,1.7848877
-0.09,0.109976694,0.109976694,1.7151767
-0.08499999,0.114976704,0.114976704,1.6611383
-0.08,0.1199767,0.1199767,1.5804647
-0.075,0.124976695,0.124976695,1.4807255
-0.06999999,0.1299767,0.1299767,1.4070376
-0.065,0.1349767,0.1349767,1.3402265
-0.060000002,0.1399767,0.1399767,1.2820194
-0.055000007,0.14497669,0.14497669,1.2300512
-0.049999997,0.1499767,0.1499767,1.1804506
-0.045,0.1549767,0.1549767,1.1403413
-0.040000007,0.15997669,0.15997669,1.0972356
-0.034999996,0.1649767,0.1649767,1.0575428
-0.030000001,0.1699767,0.1699767,1.0162861
-0.025000006,0.17497669,0.17497669,0.97455007
-0.019999996,0.1799767,0.1799767,0.945361
-0.015000001,0.1849767,0.1849767,0.92052865
-0.010000005,0.18997669,0.18997669,0.9020202
-0.004999995,0.1949767,0.1949767,0.88972306
0.0,0.1999767,0.1999767,0.88202333
0.004999995,0.2049767,0.2049767,0.88370657
0.00999999,0.20997669,0.20997669,0.8928169
0.014999986,0.21497668,0.21497668,0.90941167
0.02000001,0.21997671,0.21997671,0.9307284
0.025000006,0.2249767,0.2249767,0.95804733
0.030000001,0.2299767,0.2299767,0.989696
0.034999996,0.2349767,0.2349767,1.0313026
0.03999999,0.23997669,0.23997669,1.0767574
0.044999987,0.24497668,0.24497668,1.1291134
0.050000012,0.24997671,0.24997671,1.1891377
0.055000007,0.2549767,0.2549767,1.2530777
0.060000002,0.25997669,0.25997669,1.3300403
0.065,0.26497668,0.26497668,1.4159313
0.06999999,0.26997668,0.26997668,1.5100045
0.07499999,0.27497667,0.27497667,1.6148503
0.08000001,0.27997673,0.27997673,1.7276046
0.08500001,0.28497672,0.28497672,1.8498441
0.09,0.28997672,0.28997672,1.9836009
0.095,0.2949767,0.2949767,2.1273212
0.099999994,0.2999767,0.2999767,2.2818334
0.10499999,0.3049767,0.3049767,2.4390004
0.110000014,0.3099767,0.3099767,2.6081452
0.11500001,0.3149767,0.3149767,2.774774
0.120000005,0.3199767,0.3199767,2.9409177
0.125,0.32497668,0.32497668,3.1008172
0.13,0.32997668,0.32997668,3.226657
0.13499999,0.33497667,0.33497667,3.3243039
0.13999999,0.33997667,0.33997667,3.4182987
0.14500001,0.34497672,0.34497672,3.5105557
0.15,0.34997672,0.34997672,3.598909
0.155,0.3549767,0.3549767,3.6767752
0.16,0.3599767,0.3599767,3.714023
0.16499999,0.3649767,0.3649767,3.7358034
0.16999999,0.3699767,0.3699767,3.7310016
0.17500001,0.3749767,0.3749767,3.7390873
0.18,0.3799767,0.3799767,3.7565012
0.185,0.38497669,0.38497669,3.767166
0.19,0.38997668,0.38997668,3.7747343
0.195,0.39497668,0.39497668,3.7946277
0.19999999,0.39997667,0.39997667,3.810462
0.20500001,0.40497673,0.40497673,3.8016372
0.21000001,0.40997672,0.40997672,3.7976956
0.215,0.41497672,0.41497672,3.796573
0.22,0.4199767,0.4199767,3.79963
0.225,0.4249767,0.4249767,3.811918
0.22999999,0.4299767,0.4299767,3.826478
0.23500001,0.4349767,0.4349767,3.8509572
0.24000001,0.4399767,0.4399767,3.884348
0.245,0.4449767,0.4449767,3.9039395
0.25,0.44997668,0.44997668,3.9091187
