delta,transformedValue,naturalValue,loss
-0.002,0.6590999,0.6590999,1.3456291
-0.0019500001,0.6591498,0.6591498,1.3898249
-0.0019,0.65919983,0.65919983,1.4312173
-0.0018500001,0.65924984,0.65924984,1.4626176
-0.0018000001,0.65929985,0.65929985,1.494506
-0.00175,0.65934986,0.65934986,1.528058
-0.0017000001,0.65939987,0.65939987,1.5609378
-0.0016500001,0.6594499,0.6594499,1.5848237
-0.0016000001,0.6594998,0.6594998,1.6007638
-0.00155,0.65954983,0.65954983,1.6156574
-0.0015,0.65959984,0.65959984,1.631426
-0.0014500001,0.65964985,0.65964985,1.6447436
-0.0014000001,0.65969986,0.65969986,1.6492343
-0.00135,0.65974987,0.65974987,1.6525301
-0.0013000001,0.6597999,0.6597999,1.6562793
-0.0012500001,0.6598498,0.6598498,1.6586632
-0.0012,0.65989983,0.65989983,1.6534446
-0.00115,0.65994984,0.65994984,1.6411446
-0.0011,0.65999985,0.65999985,1.6280679
-0.0010500001,0.66004986,0.66004986,1.6169816
-0.001,0.66009986,0.66009986,1.6039758
-0.00095000013,0.6601499,0.6601499,1.5836682
-0.0009,0.6601999,0.6601999,1.5610301
-0.00085000007,0.6602498,0.6602498,1.5390214
-0.00080000004,0.66029984,0.66029984,1.5154114
-0.00075,0.66034985,0.66034985,1.484739
-0.0007000001,0.66039985,0.66039985,1.4469043
-0.00065000006,0.66044986,0.66044986,1.4106818
-0.0006,0.6604999,0.6604999,1.3770375
-0.00055,0.6605499,0.6605499,1.3419526
-0.0005000001,0.6605998,0.6605998,1.2967085
-0.00045000005,0.66064984,0.66064984,1.2462522
-0.00040000002,0.66069984,0.66069984,1.192919
-0.00035,0.66074985,0.66074985,1.137366
-0.00029999996,0.66079986,0.66079986,1.0744675
-0.00025000004,0.66084987,0.66084987,1.003127
-0.00020000001,0.6608999,0.6608999,0.93369836
-0.00014999998,0.6609498,0.6609498,0.867064
-0.00010000006,0.66099983,0.66099983,0.7994946
-4.9999915e-05,0.66104984,0.66104984,0.72757584
0.0,0.66109985,0.66109985,0.66679734
4.9999915e-05,0.66114986,0.66114986,0.66543573
9.999983e-05,0.66119987,0.66119987,0.717427
0.00015000021,0.6612499,0.6612499,0.7817231
0.00020000013,0.6612998,0.6612998,0.84420574
0.00025000004,0.66134983,0.66134983,0.912293
0.00029999996,0.66139984,0.66139984,0.98268026
0.00034999987,0.66144985,0.66144985,1.0498027
0.00040000002,0.66149986,0.66149986,1.108018
0.00045000017,0.66154987,0.66154987,1.1616788
0.0005000001,0.6615999,0.6615999,1.2136791
0.00055,0.6616498,0.6616498,1.2637947
0.0005999999,0.66169983,0.66169983,1.3073238
0.00065000006,0.66174984,0.66174984,1.3443897
0.0007,0.66179985,0.66179985,1.3837388
0.0007500001,0.66184986,0.66184986,1.4238064
0.00080000004,0.66189986,0.66189986,1.4596442
0.00084999995,0.6619499,0.6619499,1.4846246
0.0009000001,0.6619998,0.6619998,1.5055454
0.00095,0.66204983,0.66204983,1.5275282
0.0009999999,0.66209984,0.66209984,1.5501926
0.0010500001,0.66214985,0.66214985,1.5669906
0.0011,0.66219985,0.66219985,1.5764925
0.0011500001,0.66224986,0.66224986,1.5866838
0.0012,0.6622999,0.6622999,1.5963402
0.00125,0.6623499,0.6623499,1.6029035
0.0013000001,0.6623998,0.6623998,1.5991791
0.00135,0.66244984,0.66244984,1.5926689
0.0014000002,0.66249985,0.66249985,1.5881438
0.0014500001,0.66254985,0.66254985,1.584445
0.0015,0.66259986,0.66259986,1.5753196
0.0015499999,0.66264987,0.66264987,1.5602298
0.0016000001,0.6626999,0.6626999,1.5449462
0.0016500002,0.6627498,0.6627498,1.5292828
0.0017000001,0.66279984,0.66279984,1.5103111
0.00175,0.66284984,0.66284984,1.4816974
0.0018,0.66289985,0.66289985,1.4505854
0.0018499999,0.66294986,0.66294986,1.4238013
0.0019000003,0.66299987,0.66299987,1.3987325
0.0019500002,0.6630499,0.6630499,1.3672515
0.002,0.6630998,0.6630998,1.326954
