delta,transformedValue,naturalValue,loss
-0.012,0.6490998,0.6490998,1.5802548
-0.0119,0.64919984,0.64919984,1.6787585
-0.0118,0.64929986,0.64929986,1.7679893
-0.0117,0.6493999,0.6493999,1.8366561
-0.0116,0.64949983,0.64949983,1.9080346
-0.0115,0.64959985,0.64959985,1.9513224
-0.0114,0.64969987,0.64969987,1.9885923
-0.0113,0.6497998,0.6497998,2.011159
-0.0112,0.64989984,0.64989984,2.0247827
-0.0111,0.64999986,0.64999986,2.026413
-0.011,0.6500999,0.6500999,2.0084183
-0.0109,0.65019983,0.65019983,1.9906739
-0.0108,0.65029985,0.65029985,1.9537584
-0.0107,0.65039986,0.65039986,1.9154925
-0.0106,0.6504999,0.6504999,1.8535113
-0.0105,0.65059984,0.65059984,1.7924615
-0.0104,0.65069985,0.65069985,1.7176056
-0.0103,0.6507999,0.6507999,1.6228745
-0.0102,0.6508998,0.6508998,1.5143106
-0.0101,0.65099984,0.65099984,1.3877414
-0.01,0.65109986,0.65109986,1.2704045
-0.0099,0.6511999,0.6511999,1.169237
-0.0098,0.65129983,0.65129983,1.2255727
-0.0097,0.65139985,0.65139985,1.339555
-0.0096,0.65149987,0.65149987,1.4691902
-0.009500001,0.6515998,0.6515998,1.5842882
-0.0094,0.65169984,0.65169984,1.6830438
-0.0093,0.65179986,0.65179986,1.7679663
-0.0092,0.6518999,0.6518999,1.8385376
-0.0091,0.65199983,0.65199983,1.9069777
-0.009,0.65209985,0.65209985,1.946102
-0.0089,0.65219986,0.65219986,1.9838487
-0.0088,0.6522999,0.6522999,2.0015018
-0.0087,0.65239984,0.65239984,2.0150332
-0.0086,0.65249985,0.65249985,2.009518
-0.0085,0.6525999,0.6525999,1.9915497
-0.0084,0.6526998,0.6526998,1.9686979
-0.0083,0.65279984,0.65279984,1.9300961
-0.0082,0.65289986,0.65289986,1.8867846
-0.0081,0.6529999,0.6529999,1.819372
-0.007999999,0.65309983,0.65309983,1.7573302
-0.0079,0.65319985,0.65319985,1.6725744
-0.0078000003,0.65329987,0.65329987,1.572774
-0.0077000004,0.6533998,0.6533998,1.4538007
-0.0076,0.65349984,0.65349984,1.3264385
-0.0075000003,0.65359986,0.65359986,1.2054871
-0.0074,0.6536999,0.6536999,1.1309164
-0.0072999997,0.65379983,0.65379983,1.2081764
-0.0072,0.65389985,0.65389985,1.3238764
-0.0071,0.65399987,0.65399987,1.4553431
-0.007,0.6540998,0.6540998,1.5651677
-0.0069,0.65419984,0.65419984,1.6625005
-0.0068,0.65429986,0.65429986,1.7405192
-0.0067000003,0.6543999,0.6543999,1.8127869
-0.0066000004,0.6544998,0.6544998,1.8737818
-0.0065,0.65459985,0.65459985,1.9100002
-0.0064,0.65469986,0.65469986,1.9435514
-0.0063,0.6547999,0.6547999,1.9562058
-0.0062,0.65489984,0.65489984,1.9666977
-0.0061,0.65499985,0.65499985,1.9524399
-0.006,0.65509987,0.65509987,1.932838
-0.0059,0.6551998,0.6551998,1.9028623
-0.0058000004,0.65529984,0.65529984,1.8622578
-0.0057000006,0.65539986,0.65539986,1.8108281
-0.0056,0.6554999,0.6554999,1.7409366
-0.0055,0.65559983,0.65559983,1.6756982
-0.0053999997,0.65569985,0.65569985,1.5832672
-0.0053,0.65579987,0.65579987,1.479014
-0.0052,0.6558998,0.6558998,1.3496773
-0.0051,0.65599984,0.65599984,1.2213131
-0.0050000004,0.65609986,0.65609986,1.0915788
-0.0049000005,0.6561999,0.6561999,1.044254
-0.0047999998,0.6562998,0.6562998,1.1524721
-0.0047,0.65639985,0.65639985,1.2741019
-0.0046,0.65649986,0.65649986,1.4008588
-0.0045,0.6565999,0.6565999,1.5019162
-0.0044,0.65669984,0.65669984,1.5938001
-0.0043,0.65679985,0.65679985,1.6624035
-0.0042000003,0.65689987,0.65689987,1.7307103
-0.0040999996,0.6569998,0.6569998,1.7797934
-0.0039999997,0.65709984,0.65709984,1.8119267
-0.0039,0.65719986,0.65719986,1.8379364
-0.0038,0.6572999,0.6572999,1.846019
-0.0037000002,0.65739983,0.65739983,1.8498393
-0.0036000004,0.65749985,0.65749985,1.8275294
-0.0035000006,0.65759987,0.65759987,1.8063011
-0.0034000007,0.6576998,0.6576998,1.7680374
-0.0033,0.65779984,0.65779984,1.724493
-0.0032000002,0.65789986,0.65789986,1.6634651
-0.0031000003,0.6579999,0.6579999,1.5924973
-0.0030000005,0.65809983,0.65809983,1.5206302
-0.0028999997,0.65819985,0.65819985,1.4213842
-0.0028,0.65829986,0.65829986,1.3122009
-0.0027,0.6583999,0.6583999,1.177288
-0.0025999993,0.65849984,0.65849984,1.052755
-0.0024999995,0.65859985,0.65859985,0.93401307
-0.0023999996,0.65869987,0.65869987,0.9222255
-0.0022999998,0.6587998,0.6587998,1.0190684
-0.0022,0.65889984,0.65889984,1.1350385
-0.0021000002,0.65899986,0.65899986,1.2515435
-0.0020000003,0.6590999,0.6590999,1.3456291
-0.0019000005,0.65919983,0.65919983,1.4312173
-0.0017999997,0.65929985,0.65929985,1.494506
-0.0016999999,0.65939987,0.65939987,1.5609378
-0.0016000001,0.6594998,0.6594998,1.6007638
-0.0015000002,0.65959984,0.65959984,1.631426
-0.0014000004,0.65969986,0.65969986,1.6492343
-0.0013000006,0.6597999,0.6597999,1.6562793
-0.0012000008,0.65989983,0.65989983,1.6534446
-0.0011,0.65999985,0.65999985,1.6280679
-0.0010000002,0.66009986,0.66009986,1.6039758
-0.0008999994,0.6601999,0.6601999,1.5610301
-0.0007999996,0.66029984,0.66029984,1.5154114
-0.00069999974,0.66039985,0.66039985,1.4469043
-0.0005999999,0.6604999,0.6604999,1.3770375
-0.0005000001,0.6605998,0.6605998,1.2967085
-0.00040000025,0.66069984,0.66069984,1.192919
-0.0002999995,0.66079986,0.66079986,1.0744675
-0.00019999966,0.6608999,0.6608999,0.93369836
-9.999983e-05,0.66099983,0.66099983,0.7994946
0.0,0.66109985,0.66109985,0.66679734
9.999983e-05,0.66119987,0.66119987,0.717427
0.00019999966,0.6612998,0.6612998,0.84420574
0.0002999995,0.66139984,0.66139984,0.98268026
0.00039999932,0.66149986,0.66149986,1.108018
0.00049999915,0.6615999,0.6615999,1.2136791
0.000599999,0.66169983,0.66169983,1.3073238
0.00069999974,0.66179985,0.66179985,1.3837388
0.0008000005,0.66189986,0.66189986,1.4596442
0.00090000033,0.6619998,0.6619998,1.5055454
0.0010000002,0.66209984,0.66209984,1.5501926
