delta,transformedValue,naturalValue,loss
-0.5,0.30941433,1.3626268,2.1373985
-0.49,0.31941432,1.3763214,2.1027272
-0.48,0.32941434,1.3901538,2.0678563
-0.47,0.33941433,1.404125,2.0323977
-0.46,0.34941432,1.4182366,1.9963112
-0.45,0.35941434,1.4324902,1.9596826
-0.44,0.36941433,1.446887,1.9231384
-0.43,0.37941432,1.4614284,1.8869612
-0.42000002,0.3894143,1.476116,1.8510617
-0.41,0.39941433,1.4909512,1.815521
-0.4,0.40941432,1.5059355,1.7801946
-0.39,0.41941434,1.5210705,1.7451491
-0.38,0.42941433,1.5363575,1.7105106
-0.37,0.43941432,1.5517981,1.6762542
-0.36,0.4494143,1.5673939,1.6423306
-0.35,0.45941433,1.5831466,1.6086148
-0.34,0.46941432,1.5990574,1.5748776
-0.32999998,0.47941434,1.6151282,1.5410237
-0.32,0.48941433,1.6313605,1.5068668
-0.31,0.49941432,1.647756,1.4724035
-0.3,0.5094143,1.6643162,1.437642
-0.29000002,0.5194143,1.6810428,1.4027736
-0.28,0.5294143,1.6979375,1.368089
-0.26999998,0.53941435,1.7150022,1.3336372
-0.26,0.54941434,1.7322382,1.2994993
-0.25,0.5594143,1.7496475,1.2656952
-0.24000001,0.5694143,1.7672317,1.232349
-0.22999999,0.57941437,1.7849928,1.1995581
-0.22,0.58941436,1.8029323,1.1673572
-0.21000001,0.59941435,1.821052,1.1357335
-0.19999999,0.60941434,1.8393538,1.1047919
-0.19,0.6194143,1.8578396,1.0744371
-0.18,0.6294143,1.8765112,1.0444887
-0.16999999,0.6394143,1.8953705,1.0147983
-0.16,0.6494143,1.9144192,0.9853785
-0.15,0.6594143,1.9336594,0.9560089
-0.13999999,0.66941434,1.9530932,0.926827
-0.13,0.67941433,1.972722,0.8978474
-0.120000005,0.6894143,1.9925482,0.86901945
-0.110000014,0.6994143,2.0125737,0.8405549
-0.099999994,0.70941436,2.0328004,0.8127539
-0.09,0.71941435,2.0532303,0.7860548
-0.08000001,0.72941434,2.0738657,0.76087725
-0.06999999,0.73941433,2.0947084,0.7378279
-0.060000002,0.7494143,2.1157606,0.71809494
-0.050000012,0.7594143,2.1370242,0.70211655
-0.03999999,0.7694143,2.1585016,0.689332
-0.030000001,0.7794143,2.1801949,0.6793751
-0.02000001,0.7894143,2.2021062,0.6723655
-0.00999999,0.79941434,2.224238,0.6681916
0.0,0.8094143,2.2465918,0.66679734
0.00999999,0.8194143,2.2691705,0.66823405
0.01999998,0.8294143,2.291976,0.6720078
0.029999971,0.8394143,2.3150108,0.67735374
0.04000002,0.84941435,2.338277,0.68395424
0.050000012,0.85941434,2.361777,0.69153106
0.060000002,0.8694143,2.3855133,0.70002925
0.06999999,0.8794143,2.4094882,0.7092738
0.07999998,0.8894143,2.433704,0.71908045
0.089999974,0.8994143,2.458163,0.7293145
0.100000024,0.90941435,2.482868,0.740088
0.110000014,0.91941434,2.5078213,0.75139594
0.120000005,0.92941433,2.5330253,0.76311624
0.13,0.9394143,2.5584826,0.77539676
0.13999999,0.9494143,2.5841956,0.78824246
0.14999998,0.9594143,2.6101673,0.8016666
0.16000003,0.96941435,2.6364,0.8156691
0.17000002,0.97941434,2.6628962,0.830351
0.18,0.98941433,2.6896589,0.8455637
0.19,0.9994143,2.7166903,0.86143345
0.19999999,1.0094143,2.7439935,0.8780535
0.20999998,1.0194143,2.771571,0.89572096
0.22000003,1.0294144,2.799426,0.91441345
0.23000002,1.0394144,2.8275607,0.93406403
0.24000001,1.0494144,2.8559783,0.9545389
0.25,1.0594144,2.8846812,0.97568154
0.26,1.0694144,2.9136727,0.9975082
0.26999998,1.0794144,2.9429555,1.0200326
0.27999997,1.0894144,2.9725327,1.0431634
0.29000002,1.0994143,3.002407,1.0666729
0.3,1.1094143,3.0325818,1.0904028
0.31,1.1194143,3.0630598,1.1143416
0.32,1.1294143,3.093844,1.1385232
0.32999998,1.1394143,3.1249375,1.1629142
0.33999997,1.1494143,3.1563437,1.1875148
0.35000002,1.1594143,3.1880655,1.2122321
0.36,1.1694143,3.2201061,1.2365513
0.37,1.1794143,3.2524686,1.2605844
0.38,1.1894143,3.2851565,1.2844946
0.39,1.1994143,3.3181727,1.3085885
0.39999998,1.2094142,3.351521,1.3327857
0.41000003,1.2194144,3.3852046,1.357339
0.42000002,1.2294143,3.4192264,1.3826197
0.43,1.2394143,3.4535902,1.4088293
0.44,1.2494143,3.4882994,1.4362488
0.45,1.2594143,3.5233574,1.4649186
0.45999998,1.2694143,3.5587676,1.4946991
0.47000003,1.2794144,3.5945342,1.525563
0.48000002,1.2894144,3.6306598,1.5573674
0.49,1.2994144,3.6671486,1.5898999
0.5,1.3094144,3.704004,1.6229526
