epoch,loss
0,27.451817
1,27.263845
2,27.048674
3,26.81066
4,26.534054
5,26.250656
6,25.918077
7,25.562662
8,25.180105
9,24.767159
10,24.346539
11,23.91975
12,23.469881
13,23.125706
14,22.739607
15,22.37319
16,22.004587
17,21.66311
18,21.32154
19,20.88529
20,20.512682
21,20.193815
22,19.779785
23,19.469624
24,19.048407
25,18.70836
26,18.351768
27,17.942343
28,17.640448
29,17.253714
30,16.882954
31,16.608408
32,16.224066
33,15.924242
34,15.758207
35,15.462208
36,15.203912
37,15.066244
38,14.843277
39,14.551467
40,14.38747
41,14.272421
42,14.029853
43,13.806354
44,13.681729
45,13.580919
46,13.415247
47,13.178975
48,13.024137
49,12.925475
50,12.849282
51,12.77889
52,12.597872
53,12.440494
54,12.325795
55,12.249132
56,12.199104
57,12.146915
58,12.075584
59,11.953809
60,11.845001
61,11.760476
62,11.712904
63,11.659111
64,11.614479
65,11.574111
66,11.526232
67,11.450919
68,11.386402
69,11.337116
70,11.302171
71,11.269029
72,11.250213
73,11.229024
74,11.2043495
75,11.176031
76,11.140808
77,11.104411
78,11.075405
79,11.058049
80,11.039048
81,11.024281
82,11.010779
83,10.99567
84,10.979629
85,10.968863
86,10.957839
87,10.9484
88,10.941036
89,10.930482
90,10.916124
91,10.899683
92,10.886082
93,10.875635
94,10.866861
95,10.857042
96,10.845463
97,10.834057
98,10.82509
99,10.818841
