delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-2.0,-0.8876598,0.4116179,-0.35,0.31787196,0.31787196,4.3455224
-2.0,-0.8876598,0.4116179,-0.328125,0.33974695,0.33974695,4.3637857
-2.0,-0.8876598,0.4116179,-0.30625,0.36162195,0.36162195,4.4194155
-2.0,-0.8876598,0.4116179,-0.284375,0.38349694,0.38349694,4.4289107
-2.0,-0.8876598,0.4116179,-0.2625,0.40537196,0.40537196,4.4329615
-2.0,-0.8876598,0.4116179,-0.240625,0.42724696,0.42724696,4.424123
-2.0,-0.8876598,0.4116179,-0.21875,0.44912195,0.44912195,4.404255
-2.0,-0.8876598,0.4116179,-0.19687499,0.47099698,0.47099698,4.37627
-2.0,-0.8876598,0.4116179,-0.175,0.49287194,0.49287194,4.340459
-2.0,-0.8876598,0.4116179,-0.153125,0.51474696,0.51474696,4.304496
-2.0,-0.8876598,0.4116179,-0.13125,0.5366219,0.5366219,4.267905
-2.0,-0.8876598,0.4116179,-0.109375,0.55849695,0.55849695,4.2266946
-2.0,-0.8876598,0.4116179,-0.087500006,0.580372,0.580372,4.1760144
-2.0,-0.8876598,0.4116179,-0.06562501,0.60224694,0.60224694,4.120232
-2.0,-0.8876598,0.4116179,-0.043749988,0.62412196,0.62412196,4.0678244
-2.0,-0.8876598,0.4116179,-0.021874994,0.6459969,0.6459969,4.0182867
-2.0,-0.8876598,0.4116179,0.0,0.66787195,0.66787195,3.9671361
-2.0,-0.8876598,0.4116179,0.021874994,0.689747,0.689747,3.9110055
-2.0,-0.8876598,0.4116179,0.043749988,0.71162194,0.71162194,3.8516853
-2.0,-0.8876598,0.4116179,0.06562501,0.73349696,0.73349696,3.7850535
-2.0,-0.8876598,0.4116179,0.087500006,0.7553719,0.7553719,3.715012
-2.0,-0.8876598,0.4116179,0.109375,0.77724695,0.77724695,3.6464043
-2.0,-0.8876598,0.4116179,0.13125,0.799122,0.799122,3.5773451
-2.0,-0.8876598,0.4116179,0.15312502,0.820997,0.820997,3.5156868
-2.0,-0.8876598,0.4116179,0.17499998,0.8428719,0.8428719,3.4521513
-2.0,-0.8876598,0.4116179,0.196875,0.8647469,0.8647469,3.3890994
-2.0,-0.8876598,0.4116179,0.21874997,0.88662195,0.88662195,3.3238173
-2.0,-0.8876598,0.4116179,0.240625,0.908497,0.908497,3.2580774
-2.0,-0.8876598,0.4116179,0.26250002,0.930372,0.930372,3.188027
-2.0,-0.8876598,0.4116179,0.28437498,0.9522469,0.9522469,3.1205885
-2.0,-0.8876598,0.4116179,0.30625,0.9741219,0.9741219,3.0594842
-2.0,-0.8876598,0.4116179,0.32812497,0.99599695,0.99599695,2.9995532
-2.0,-0.8876598,0.4116179,0.35,1.017872,1.017872,2.938975
-1.875,-0.7626598,0.4664242,-0.35,0.31787196,0.31787196,4.3361797
-1.875,-0.7626598,0.4664242,-0.328125,0.33974695,0.33974695,4.357825
-1.875,-0.7626598,0.4664242,-0.30625,0.36162195,0.36162195,4.417165
-1.875,-0.7626598,0.4664242,-0.284375,0.38349694,0.38349694,4.4225388
-1.875,-0.7626598,0.4664242,-0.2625,0.40537196,0.40537196,4.426722
-1.875,-0.7626598,0.4664242,-0.240625,0.42724696,0.42724696,4.418031
-1.875,-0.7626598,0.4664242,-0.21875,0.44912195,0.44912195,4.3990026
-1.875,-0.7626598,0.4664242,-0.19687499,0.47099698,0.47099698,4.3688993
-1.875,-0.7626598,0.4664242,-0.175,0.49287194,0.49287194,4.3344765
-1.875,-0.7626598,0.4664242,-0.153125,0.51474696,0.51474696,4.2975287
-1.875,-0.7626598,0.4664242,-0.13125,0.5366219,0.5366219,4.249756
-1.875,-0.7626598,0.4664242,-0.109375,0.55849695,0.55849695,4.1955037
-1.875,-0.7626598,0.4664242,-0.087500006,0.580372,0.580372,4.139498
-1.875,-0.7626598,0.4664242,-0.06562501,0.60224694,0.60224694,4.080568
-1.875,-0.7626598,0.4664242,-0.043749988,0.62412196,0.62412196,4.017157
-1.875,-0.7626598,0.4664242,-0.021874994,0.6459969,0.6459969,3.9488075
-1.875,-0.7626598,0.4664242,0.0,0.66787195,0.66787195,3.8730032
-1.875,-0.7626598,0.4664242,0.021874994,0.689747,0.689747,3.8010626
-1.875,-0.7626598,0.4664242,0.043749988,0.71162194,0.71162194,3.7325187
-1.875,-0.7626598,0.4664242,0.06562501,0.73349696,0.73349696,3.6582103
-1.875,-0.7626598,0.4664242,0.087500006,0.7553719,0.7553719,3.5851073
-1.875,-0.7626598,0.4664242,0.109375,0.77724695,0.77724695,3.5072198
-1.875,-0.7626598,0.4664242,0.13125,0.799122,0.799122,3.428314
-1.875,-0.7626598,0.4664242,0.15312502,0.820997,0.820997,3.348503
-1.875,-0.7626598,0.4664242,0.17499998,0.8428719,0.8428719,3.267229
-1.875,-0.7626598,0.4664242,0.196875,0.8647469,0.8647469,3.1939685
-1.875,-0.7626598,0.4664242,0.21874997,0.88662195,0.88662195,3.1218326
-1.875,-0.7626598,0.4664242,0.240625,0.908497,0.908497,3.0458488
-1.875,-0.7626598,0.4664242,0.26250002,0.930372,0.930372,2.9728174
