delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-2.0,-0.8876598,0.4116179,-0.35,0.31787196,0.31787196,4.3179812
-2.0,-0.8876598,0.4116179,-0.328125,0.33974695,0.33974695,4.331324
-2.0,-0.8876598,0.4116179,-0.30625,0.36162195,0.36162195,4.3874454
-2.0,-0.8876598,0.4116179,-0.284375,0.38349694,0.38349694,4.4023223
-2.0,-0.8876598,0.4116179,-0.2625,0.40537196,0.40537196,4.402011
-2.0,-0.8876598,0.4116179,-0.240625,0.42724696,0.42724696,4.3970037
-2.0,-0.8876598,0.4116179,-0.21875,0.44912195,0.44912195,4.3761306
-2.0,-0.8876598,0.4116179,-0.19687499,0.47099698,0.47099698,4.348965
-2.0,-0.8876598,0.4116179,-0.175,0.49287194,0.49287194,4.3149977
-2.0,-0.8876598,0.4116179,-0.153125,0.51474696,0.51474696,4.278521
-2.0,-0.8876598,0.4116179,-0.13125,0.5366219,0.5366219,4.2428775
-2.0,-0.8876598,0.4116179,-0.109375,0.55849695,0.55849695,4.2053347
-2.0,-0.8876598,0.4116179,-0.087500006,0.580372,0.580372,4.167118
-2.0,-0.8876598,0.4116179,-0.06562501,0.60224694,0.60224694,4.1232576
-2.0,-0.8876598,0.4116179,-0.043749988,0.62412196,0.62412196,4.0798764
-2.0,-0.8876598,0.4116179,-0.021874994,0.6459969,0.6459969,4.0341454
-2.0,-0.8876598,0.4116179,0.0,0.66787195,0.66787195,3.9792063
-2.0,-0.8876598,0.4116179,0.021874994,0.689747,0.689747,3.9227521
-2.0,-0.8876598,0.4116179,0.043749988,0.71162194,0.71162194,3.8679008
-2.0,-0.8876598,0.4116179,0.06562501,0.73349696,0.73349696,3.8155406
-2.0,-0.8876598,0.4116179,0.087500006,0.7553719,0.7553719,3.7597275
-2.0,-0.8876598,0.4116179,0.109375,0.77724695,0.77724695,3.7060306
-2.0,-0.8876598,0.4116179,0.13125,0.799122,0.799122,3.649065
-2.0,-0.8876598,0.4116179,0.15312502,0.820997,0.820997,3.5928442
-2.0,-0.8876598,0.4116179,0.17499998,0.8428719,0.8428719,3.5368237
